name,title,url
HankBubbie,nan,https://www.airbnb.com/rooms/plus/14098
Tatiana,Green Sputnik in Highland Park,https://www.airbnb.com/rooms/plus/23710
Modern,nan,https://www.airbnb.com/rooms/plus/23925
Spencer,The Zanja Shangri-La,https://www.airbnb.com/rooms/plus/32963
Michael,nan,https://www.airbnb.com/rooms/plus/61578
Constantine,nan,https://www.airbnb.com/rooms/plus/66796
Zeev,nan,https://www.airbnb.com/rooms/plus/74770
Dan,nan,https://www.airbnb.com/rooms/plus/98284
Megan,Walk to Venice Beach from a Family-Friendly Home,https://www.airbnb.com/rooms/plus/237988
Derek,nan,https://www.airbnb.com/rooms/plus/254259
Steve,"Panoramic View and Pool, Chic Hollywood Bungalow",https://www.airbnb.com/rooms/plus/257003
Ilan And Yana,Modern Bohemian-Style Home in Venice Beach,https://www.airbnb.com/rooms/plus/262395
Bea & Henning,Zen Retreat with Heart in Creative & Cozy House,https://www.airbnb.com/rooms/plus/266975
Mirjam,Cozy Apartment with Private Yard in West Hollywood,https://www.airbnb.com/rooms/plus/291617
Donna,nan,https://www.airbnb.com/rooms/plus/346756
Deborah,Rodeo Drive Studio with Pool and Private Garden,https://www.airbnb.com/rooms/plus/395221
M.,Venice Canals Bungalow Retreat,https://www.airbnb.com/rooms/plus/402182
Bryce,"Unwind at a Tranquil, Quiet Home",https://www.airbnb.com/rooms/plus/498342
Jo-Ann,Walk to Abbot Kinney from a Quiet Guesthouse,https://www.airbnb.com/rooms/plus/526012
Alex,Relax with a View at a Spanish-style Hilltop Home,https://www.airbnb.com/rooms/plus/537363
Dale And Paul,Sunny Suite in Historic Home Steps from the Beach,https://www.airbnb.com/rooms/plus/546626
Carol,nan,https://www.airbnb.com/rooms/plus/565873
Wendy & Rik,Your Echo in the Canyon Tranquil Home,https://www.airbnb.com/rooms/plus/611542
Bill And Carrie,Comfy Room in a Whittier Hills Home,https://www.airbnb.com/rooms/plus/640855
Jason & Andrew,nan,https://www.airbnb.com/rooms/plus/649822
Isabelle,Pristine Cottage Nestled in the Topanga Woods,https://www.airbnb.com/rooms/plus/663889
Craig,Walk to Venice Shops from an Eclectic Home,https://www.airbnb.com/rooms/plus/668111
Bill And Carrie,Single Story Home in Historic Uptown Whittier,https://www.airbnb.com/rooms/plus/707205
Steven & Judy,nan,https://www.airbnb.com/rooms/plus/722233
Keri,nan,https://www.airbnb.com/rooms/plus/732969
Dan,Echo Park Cottage with Hot Tub and Lush Garden,https://www.airbnb.com/rooms/plus/766813
Will,nan,https://www.airbnb.com/rooms/plus/770046
Steven & Judy,nan,https://www.airbnb.com/rooms/plus/776948
Todd,"Private, Designer Guesthouse with Rose Garden",https://www.airbnb.com/rooms/plus/781722
Mike,nan,https://www.airbnb.com/rooms/plus/784086
Darrell,Room in Hillside Home with Skyline Views,https://www.airbnb.com/rooms/plus/810082
Jennifer,nan,https://www.airbnb.com/rooms/plus/840797
Amara,Private Studio Nestled in Tropical Pool Oasis,https://www.airbnb.com/rooms/plus/862186
Kevin,nan,https://www.airbnb.com/rooms/plus/893786
Janin,Walk to Venice Beach from a Designer Home,https://www.airbnb.com/rooms/plus/898680
Gary And Jill,Heart of Los Feliz Village I,https://www.airbnb.com/rooms/plus/906604
Jennifer,"Enchanting, Art-Adorned Craftsman in Echo Park",https://www.airbnb.com/rooms/plus/912991
D. Marilyn,nan,https://www.airbnb.com/rooms/plus/921738
Adriana,Boutique Guest Suite with Outdoor Lounge,https://www.airbnb.com/rooms/plus/926060
Adriana,Stroll Melrose Ave from a 1920s Spanish-Style Home,https://www.airbnb.com/rooms/plus/926181
Jo-Ann,Artfully Designed Studio Cottage in Venice,https://www.airbnb.com/rooms/plus/932354
Jean,Sunny Room in 50s Mid Mod Delight,https://www.airbnb.com/rooms/plus/948999
Janin,Walk to Venice Beach from a Mellow Apartment,https://www.airbnb.com/rooms/plus/956342
Ray,Architectural Masterpiece with Roof Deck,https://www.airbnb.com/rooms/plus/958435
Ari,The Hot Tub Treehouse Chalet of Silverlake,https://www.airbnb.com/rooms/plus/961852
Veronica And Christopher,Zen House with Sauna and Spectacular Views,https://www.airbnb.com/rooms/plus/975929
Luca,Picture Perfect California Bungalow,https://www.airbnb.com/rooms/plus/978549
Amelia,nan,https://www.airbnb.com/rooms/plus/992786
Alicia,Enjoy Hollywood from House in Hollywood Hills,https://www.airbnb.com/rooms/plus/1012454
David,Private Room in an Elegant French Gothic Home,https://www.airbnb.com/rooms/plus/1025161
Craig,Relax in a Unique Apartment in Venice,https://www.airbnb.com/rooms/plus/1074732
Kevin,"Comfortable, Modern House with Chef's Kitchen",https://www.airbnb.com/rooms/plus/1110762
Io,Private Gem in the Heart of Atwater Village,https://www.airbnb.com/rooms/plus/1160510
Helena,Relax in a Pasadena Family Home with a Garden,https://www.airbnb.com/rooms/plus/1194408
Harry And Russ,nan,https://www.airbnb.com/rooms/plus/1217659
Daniel,Vintage Craftsman House with Pool and Fire Pit,https://www.airbnb.com/rooms/plus/1220414
Amelia,nan,https://www.airbnb.com/rooms/plus/1233330
Russell,View Hollywood Hills from Stunning Loft-Style Home,https://www.airbnb.com/rooms/plus/1243943
Donna,Retro Silver Lake Studio with a Solar-Heated Pool,https://www.airbnb.com/rooms/plus/1262262
Susan & Kevin,Charming Craftsman with Outdoor Shower,https://www.airbnb.com/rooms/plus/1292476
Sammy,Ultra Modern Eco-Chic Cottage,https://www.airbnb.com/rooms/plus/1312673
Jason,"Spacious, Modern Apartment with Panoramic Views",https://www.airbnb.com/rooms/plus/1332728
Lisa & Ken,Phantastic Private Master Bedroom in Montebello,https://www.airbnb.com/rooms/plus/1336402
Carlos,1923 Ranch House with Stunning Art Collection,https://www.airbnb.com/rooms/plus/1336410
Al And Leslie,nan,https://www.airbnb.com/rooms/plus/1381369
Cara,nan,https://www.airbnb.com/rooms/plus/1399365
Joshua,"Bright, Modern & Spacious Stunner in Silverlake",https://www.airbnb.com/rooms/plus/1423375
Joshua And Heather,Unwind in a Modern and Serene Craftsman Home,https://www.airbnb.com/rooms/plus/1454412
Leslie,nan,https://www.airbnb.com/rooms/plus/1479084
Jason & Andrew,Hip Venice Beach Condo Minutes from the Sand,https://www.airbnb.com/rooms/plus/1492731
Nona,Private Sunset Plaza Hideaway with Pool,https://www.airbnb.com/rooms/plus/1503555
Mikki,Centrally-Located Long Beach Guesthouse,https://www.airbnb.com/rooms/plus/1515883
Thea And George,nan,https://www.airbnb.com/rooms/plus/1525686
Grace,"Chic, Spacious Home Just Steps from Venice Beach",https://www.airbnb.com/rooms/plus/1534717
Jorge,nan,https://www.airbnb.com/rooms/plus/1547212
Josie And Paul,nan,https://www.airbnb.com/rooms/plus/1602551
Jennifer,nan,https://www.airbnb.com/rooms/plus/1652185
Andrea & Ed,Luxurious Home Overlooking Historic Venice Canals,https://www.airbnb.com/rooms/plus/1681745
Jeffrey,Stylish Spanish Apartment with Deck and Views,https://www.airbnb.com/rooms/plus/1689200
HankBubbie,Soothing Zen Haven In the Hollywood Hills,https://www.airbnb.com/rooms/plus/1700085
Brad & Sean,Devlin by Open Air Homes,https://www.airbnb.com/rooms/plus/1721598
Jo-Ann,Live the Beach Life in a Modern Bohemian Home,https://www.airbnb.com/rooms/plus/1821859
Nicolas,nan,https://www.airbnb.com/rooms/plus/1822343
Indra,Vibrant Silver Lake Home with Rose Garden,https://www.airbnb.com/rooms/plus/1898747
Eric,"Ocean Front Views
Shabby Chic Vintage Vibes",https://www.airbnb.com/rooms/plus/1922497
Sean,nan,https://www.airbnb.com/rooms/plus/1971900
Deborah,nan,https://www.airbnb.com/rooms/plus/2021231
Patrick,Venice Original Private Guest House,https://www.airbnb.com/rooms/plus/2034041
Barry & Van-Martin,Artist's Retreat in Secluded Pasadena Guesthouse,https://www.airbnb.com/rooms/plus/2070289
Dyane,nan,https://www.airbnb.com/rooms/plus/2114558
Katy-Rent My LA Pad,Luxurious Upscale Modern Home-Universal Studios,https://www.airbnb.com/rooms/plus/2124140
Sheri,"Bike to Venice from a Hip, Eclectic Condo",https://www.airbnb.com/rooms/plus/2139064
Adriana,Melrose Avenue Urban Oasis,https://www.airbnb.com/rooms/plus/2144103
Michael,"Eclectic, Modernist Urban Retreat in Venice Beach",https://www.airbnb.com/rooms/plus/2151549
Todd,"Elegant, Designer Guesthouse with Rose Garden",https://www.airbnb.com/rooms/plus/2204118
Helena,Relax in an Updated Bungalow House in Pasadena,https://www.airbnb.com/rooms/plus/2289772
Marion,nan,https://www.airbnb.com/rooms/plus/2351714
Nancy,nan,https://www.airbnb.com/rooms/plus/2401340
Micah,nan,https://www.airbnb.com/rooms/plus/2461389
Lake,"Dreamy Apartment with Airy, Western-Chic Design",https://www.airbnb.com/rooms/plus/2532650
Sophia,"11 houses to Beach - Designer, Modern and Bright!!",https://www.airbnb.com/rooms/plus/2539391
Flavs,Quiet & Artistic Home Near the Venice Beach Sign,https://www.airbnb.com/rooms/plus/2540499
Jean,nan,https://www.airbnb.com/rooms/plus/2547530
Roslyn & Yossi,nan,https://www.airbnb.com/rooms/plus/2560924
John,nan,https://www.airbnb.com/rooms/plus/2600380
Lisa,"Charming, Vintage Home near Venice Beach",https://www.airbnb.com/rooms/plus/2670945
Indra,"Tropical, Bohemian Townhouse in West Hollywood",https://www.airbnb.com/rooms/plus/2723180
Modern,nan,https://www.airbnb.com/rooms/plus/2771257
Stacy,nan,https://www.airbnb.com/rooms/plus/2842982
Laura & Michael,Contemporary Cottage... Oasis with Private Pool.,https://www.airbnb.com/rooms/plus/2844034
Tim,Bright Studio with Panoramic Views in Silver Lake,https://www.airbnb.com/rooms/plus/2867922
Flavs,Quirky Artist's Hideaway in Venice Beach,https://www.airbnb.com/rooms/plus/2889663
Ty,nan,https://www.airbnb.com/rooms/plus/2943009
Jade,nan,https://www.airbnb.com/rooms/plus/2943313
Anna-Pia And John,Relax in a Romantic Suite in Del Rey,https://www.airbnb.com/rooms/plus/2960075
Emily,nan,https://www.airbnb.com/rooms/plus/2969999
Anna-Pia And John,Private Room and Bath in Del Rey House,https://www.airbnb.com/rooms/plus/3053356
Indra,nan,https://www.airbnb.com/rooms/plus/3090567
Charlie,nan,https://www.airbnb.com/rooms/plus/3102027
